9,9,9,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
9,9,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6
8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6
8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,6,6,3,3,3
8,8,8,8,7,7,7,7,7,7,7,7,7,6,3,3,3,0,0,0
8,8,8,8,7,7,7,7,7,7,7,3,0,0,0,0,0,0,0,0
8,8,8,8,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0
8,8,8,9,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0
9,9,9,9,8,8,8,8,8,8,7,0,0,0,0,0,0,0,0,0
8,8,8,8,7,7,7,7,6,6,6,0,0,0,0,0,0,0,0,0
8,8,8,8,7,7,6,6,3,3,3,0,0,0,0,0,0,0,0,0
8,8,8,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
