8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5
8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5
8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5
7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5
7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5
7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,4,4
7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,4,4,4
7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,4,4,4,4,4
7,7,7,7,7,6,6,6,6,6,5,5,5,5,4,4,4,3,3,3
7,7,7,7,7,6,6,6,6,6,5,5,4,4,3,3,3,3,3,3
7,7,7,7,7,6,6,6,6,5,5,3,3,3,3,3,3,3,3,3
7,7,7,7,7,6,6,6,5,5,5,0,0,0,0,0,0,0,0,0
7,7,7,7,7,6,6,5,5,5,3,0,0,0,0,0,0,0,0,0
8,8,8,8,7,7,6,6,6,5,4,0,0,0,0,0,0,0,0,0
8,8,8,8,7,7,6,5,5,4,4,0,0,0,0,0,0,0,0,0
8,8,8,8,7,6,5,5,3,3,3,0,0,0,0,0,0,0,0,0
8,8,8,8,5,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0
8,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
